oms_score,sex,race,pb,p1,p2,p3,p4,p5,ac,id
97.211029,M,2,IN,IN,EN,FA,MP,SC,1,1
96.859131,F,1,AV,AV,AG,FI,MS,MI,2,2
96.692955,M,1,AV,AV,MS,AR,MI,IN,2,3
96.545601,M,1,AV,AV,IN,EN,FA,AR,4,4
96.221519,M,1,IN,IN,MI,EN,MP,AR,1,5
95.980782,M,1,EN,EN,MI,IN,AR,MS,2,6
95.553154,M,1,MP,MP,EN,MI,AR,FA,1,7
95.292152,M,1,IN,IN,AR,EN,MI,OD,4,8
94.84156,M,2,EN,EN,FI,MI,SC,AR,1,9
94.754486,F,1,MI,MI,MS,EN,FI,AD,1,10
94.702736,M,1,IN,IN,AR,EN,FA,AD,1,11
94.657936,M,1,IN,IN,MI,AR,FA,MP,1,12
94.651428,M,1,MI,MI,AD,QM,MS,EN,1,13
94.311119,M,2,IN,IN,AR,FA,MI,EN,1,14
94.200264,M,1,MP,MP,FA,AR,MS,EN,1,15
94.116722,M,1,IN,IN,AR,SC,MI,EN,1,16
94.102646,M,1,AV,AV,MS,MI,AG,MP,1,17
94.008926,F,4,AD,AD,MI,MS,SC,EN,3,18
93.943153,M,1,IN,IN,EN,MI,AR,FA,1,19
93.888992,M,2,AV,AV,MS,SC,QM,TC,1,20
93.834976,M,1,MI,MI,AR,MS,FA,QM,1,21
93.788445,F,1,AV,AV,MP,EN,MI,SC,1,22
93.775093,M,1,AV,AV,AR,EN,IN,MI,2,23
93.744949,M,1,IN,IN,MI,AR,FA,SC,1,24
93.709496,M,1,MI,MI,IN,AR,FA,SC,2,25
93.440804,M,1,MS,MS,MI,EN,AR,SC,1,26
93.359169,F,1,EN,EN,MI,OD,MP,TC,4,27
93.294701,M,1,IN,IN,EN,AR,SC,FA,4,28
93.245171,M,1,IN,IN,EN,SC,AR,MI,1,29
93.147415,M,2,MI,MI,IN,MS,QM,EN,1,30
93.111389,M,4,MI,MI,SC,AR,MS,FI,3,31
93.072723,F,1,MI,MI,MP,SC,QM,AG,1,32
92.92614,M,1,IN,IN,MI,MP,AR,EN,1,33
92.811409,F,1,AV,AV,MS,MI,TC,MP,1,34
92.772018,M,1,IN,IN,AR,FA,EN,MI,1,35
92.730072,M,1,MI,MI,EN,AR,SC,MS,1,36
92.681702,M,2,IN,IN,AR,MI,MS,MP,1,37
92.610352,M,1,IN,IN,AR,EN,MI,AD,1,38
92.597893,M,1,IN,IN,EN,FA,AR,AD,2,39
92.58004,M,1,IN,IN,AR,EN,MI,FA,1,40
92.572395,M,1,AV,AV,IN,EN,AR,MI,2,41
92.547264,M,1,IN,IN,AR,EN,MI,MP,2,42
92.541489,M,1,IN,IN,AR,EN,AD,MI,1,43
92.521835,M,1,AV,AV,EN,AR,SC,AG,2,44
92.515038,F,1,EN,EN,MI,MP,FA,SC,2,45
92.504677,M,1,MI,MI,AR,IN,AV,EN,1,46
92.504074,M,1,EN,EN,IN,FA,AR,AD,1,47
92.497734,M,1,MI,MI,IN,EN,AR,SC,1,48
92.493279,M,1,EN,EN,AR,MI,QM,FI,2,49
92.484016,M,2,MI,MI,AR,SC,AD,EN,1,50
92.479202,M,1,AR,AR,MP,OD,EN,MI,1,51
92.477837,M,1,IN,IN,EN,AR,MP,FA,2,52
92.477654,M,1,AR,AR,IN,MI,FA,MP,1,53
92.41626,M,1,IN,IN,AR,FA,EN,MI,1,54
92.36248,M,1,AR,AR,EN,IN,MI,MP,1,55
92.360161,M,1,SC,SC,MS,OD,FA,QM,1,56
92.312088,M,1,MI,MI,OD,AD,MP,FA,1,57
92.28952,M,3,AV,AV,IN,MS,MI,MP,1,58
92.271362,M,1,MI,MI,EN,SC,FA,MP,4,59
92.267693,M,3,IN,IN,AR,QM,MS,MI,1,60
92.237122,M,1,IN,IN,AR,EN,MI,FA,1,61
92.190933,M,1,AR,AR,QM,IN,TC,MI,2,62
92.149979,M,1,FI,FI,MS,QM,TC,SC,2,63
92.075058,F,2,SP,SP,MI,AG,FI,OD,3,64
92.04203,M,1,MI,MI,SC,AR,MP,EN,1,65
92.034233,M,4,SC,SC,MI,AD,AG,QM,2,66
92.011101,M,1,IN,IN,EN,MP,AR,FA,2,67
92.00589,M,1,MI,MI,IN,AR,MP,FA,3,68
91.987717,M,1,MI,MI,AR,EN,AD,SC,1,69
91.980354,M,1,MI,MI,IN,AR,MS,MP,1,70
91.9226,M,1,AV,AV,MP,MI,AR,EN,2,71
91.906395,F,1,MI,MI,SC,MP,AG,TC,1,72
91.897179,M,1,AR,AR,MI,AD,MP,IN,1,73
91.817642,M,1,MI,MI,AR,FA,EN,SC,1,74
91.79184,M,1,IN,IN,AR,EN,FA,MS,1,75
91.765747,M,1,MP,MP,MI,AR,AG,EN,1,76
91.728806,M,1,IN,IN,MI,AR,EN,SC,1,77
91.719215,M,1,IN,IN,AR,EN,MI,FA,2,78
91.715363,M,1,MI,MI,MS,EN,SC,QM,1,79
